channel_name,title,duration_seconds,view_count,like_count,comment_count,engagement_rate,video_length_category,title_category
CryptosRUs,Why Bitcoin Could Explode From Here,608,23337,1109,203,0.05621973689848738,medium,coins
CryptosRUs,Bitcoin Bulls Are Back !!,2290,17853,977,275,0.070128269758584,long,coins
CryptosRUs,"Bitcoin’s $69,000 Breakout Just Changed Everything",722,22493,1058,592,0.07335615524829947,medium,coins
CryptosRUs,Bitcoin Is Ready To Break Out...,2586,19475,964,332,0.06654685494223363,long,coins
CryptosRUs,"Bitcoin’s $64,000 Trap or Massive Squeeze?",2765,13605,773,97,0.0639470782800441,long,coins
CryptosRUs,Bitcoin Faces Its Biggest Test This Week,2781,12592,686,78,0.06067344345616264,long,coins
CryptosRUs,Bitcoin’s “Valley of Death” Is Here,2031,19638,904,217,0.057083206029127205,long,coins
CryptosRUs,Bitcoin Is Coiling For Its Biggest Move Of 2026,2216,12282,727,180,0.07384790750692069,long,coins
CryptosRUs,Bitcoin Is Quietly Setting Up For A Massive Reversal,2492,13347,760,66,0.06188656626957369,long,coins
CryptosRUs,Bitcoin’s Next Major Move Is Closer Than You Think,2249,11861,697,40,0.06213641345586376,long,coins
CryptosRUs,Is Bitcoin's Reset Almost Over?,697,15575,823,282,0.0709470304975923,medium,coins
CryptosRUs,Don’t Miss What Saylor Said About Bitcoin Today,759,27309,1168,268,0.052583397414771686,medium,coins
CryptosRUs,Bitcoin Is Coiling While Everything Else Moves,554,10123,651,263,0.09028943988936086,short,coins
CryptosRUs,Bitcoin’s Ultimate Bottom Signal Is Here,2428,14258,788,104,0.06256136905596858,long,coins
CryptosRUs,Bitcoin’s Biggest Support Test Is Here,2412,12495,710,104,0.06514605842336935,long,coins
CryptosRUs,Bitcoin Had a VERY Rough Week…,1458,10502,664,490,0.10988383165111407,long,coins
CryptosRUs,Bitcoin Could Be Near a Major Turning Point,690,11793,602,352,0.08089544645128466,medium,coins
CryptosRUs,What Our Fed Said that Caused a Massive Sell Off,763,15364,831,159,0.06443634470190054,medium,undefined
CryptosRUs,Why Bitcoin and Market Are Freaking Out Right Now...,651,11018,619,68,0.06235251406788891,medium,coins
CryptosRUs,Bitcoin Hit by a Massive Global Sell-Off,994,15556,816,249,0.06846232964772435,medium,coins
CryptosRUs,Why did Bitcoin and Markets Sell Off Today?,570,15779,806,511,0.08346536535902148,short,coins
CryptosRUs,Bitcoin’s $65K Reclaim Faces a Massive Fed Test,2421,11983,655,165,0.06843027622465159,long,coins
CryptosRUs,Bitcoin's Next Massive Move Is Coming...,2819,14230,724,188,0.06408995080815179,long,coins
CryptosRUs,CLARITY Act Could Unlock Bitcoin's Next Massive Rally,2768,16521,846,187,0.06252648144785425,long,coins
CryptosRUs,Bitcoin Is Setting Up for an Explosive Move,3057,15190,742,141,0.05813034891375905,long,coins
CryptosRUs,Bitcoin Faces a Massive $68K Wall,578,11504,660,238,0.07805980528511822,short,coins
CryptosRUs,Bitcoin Is Breaking Out Right Now,3513,16448,890,30,0.055933852140077824,long,news-reaction
CryptosRUs,Bitcoin Investors...HUGE UPDATE on Clarity Act,719,24425,1125,101,0.05019447287615148,medium,coins
CryptosRUs,Bitcoin Just Flashed a Breakout Signal,3378,13581,777,186,0.07090788601722996,long,coins
CryptosRUs,Bitcoin Faces a Global Market Bloodbath,3334,16001,809,72,0.055059058808824446,long,coins
CryptosRUs,Bitcoin’s Wall Street Moment Just Accelerated,754,10759,614,45,0.061251045636211546,medium,coins
CryptosRUs,Bitcoin Institutions Are Buying the Dip,2761,11085,676,23,0.06305818673883627,long,coins
